"date","nb_temp","base_temp","mot","ratio_temp"
"1914",5343,39392,"Joffre",0.135636677497969
"1914",150,39392,"Pétain",0.00380787977254265
"1914",914,39392,"Foch",0.0232026807473599
"1915",8814,32963,"Joffre",0.267390710796954
"1915",165,32963,"Pétain",0.00500561235324455
"1915",1349,32963,"Foch",0.0409246731183448
"1916",7332,36550,"Joffre",0.200601915184679
"1916",3005,36550,"Pétain",0.0822161422708618
"1916",1403,36550,"Foch",0.0383857729138167
"1917",4667,37073,"Joffre",0.125886763952202
"1917",3371,37073,"Pétain",0.0909287082243142
"1917",2085,37073,"Foch",0.0562403905807461
"1918",4555,36028,"Joffre",0.12642944376596
"1918",5270,36028,"Pétain",0.146275119351615
"1918",12243,36028,"Foch",0.339819029643611
"1919",5295,39708,"Joffre",0.133348443638561
"1919",4967,39708,"Pétain",0.125088143447164
"1919",14890,39708,"Foch",0.374987408078977
"1920",4799,37955,"Joffre",0.126439204320906
"1920",4784,37955,"Pétain",0.12604399947306
"1920",11866,37955,"Foch",0.312633381636148
